,date,overal
0,2017-05-01,3.6
1,2017-05-02,3.75
2,2017-05-03,4.05
3,2017-05-04,4.95
4,2017-05-05,4.65
5,2017-05-06,3.9
6,2017-05-07,3.75
7,2017-05-08,4.35
8,2017-05-09,5.7
9,2017-05-10,5.1
10,2017-05-11,5.85
11,2017-05-12,6.6
12,2017-05-13,6.9
13,2017-05-14,5.85
14,2017-05-15,7.95
15,2017-05-16,7.2
16,2017-05-17,6.15
17,2017-05-18,5.55
18,2017-05-19,6.15
19,2017-05-20,6.15
20,2017-05-21,6.15
21,2017-05-22,9.9
22,2017-05-23,10.35
23,2017-05-24,11.7
24,2017-05-25,15.0
25,2017-05-26,11.7
26,2017-05-27,10.2
27,2017-05-28,7.65
28,2017-05-29,7.5
29,2017-05-30,7.35
30,2017-05-31,7.05
31,2017-06-01,12.0
32,2017-06-02,10.5
33,2017-06-03,9.75
34,2017-06-04,9.6
35,2017-06-05,11.1
36,2017-06-06,14.7
37,2017-06-07,13.5
38,2017-06-08,11.1
39,2017-06-09,11.4
40,2017-06-10,10.8
41,2017-06-11,10.95
42,2017-06-12,15.0
43,2017-06-13,12.75
44,2017-06-14,12.45
45,2017-06-15,14.85
46,2017-06-16,12.3
47,2017-06-17,10.2
48,2017-06-18,9.75
49,2017-06-19,10.2
50,2017-06-20,10.95
51,2017-06-21,11.25
52,2017-06-22,10.65
53,2017-06-23,10.2
54,2017-06-24,9.9
55,2017-06-25,9.6
56,2017-06-26,11.7
57,2017-06-27,13.2
58,2017-06-28,12.45
59,2017-06-29,10.35
60,2017-06-30,8.85
61,2017-07-01,9.49
62,2017-07-02,9.49
63,2017-07-03,9.88
64,2017-07-04,9.75
65,2017-07-05,9.75
66,2017-07-06,10.01
67,2017-07-07,9.49
68,2017-07-08,8.84
69,2017-07-09,8.71
70,2017-07-10,10.92
71,2017-07-11,12.22
72,2017-07-12,10.92
73,2017-07-13,10.4
74,2017-07-14,10.4
75,2017-07-15,11.83
76,2017-07-16,12.74
77,2017-07-17,12.35
78,2017-07-18,12.22
79,2017-07-19,11.31
80,2017-07-20,12.74
81,2017-07-21,12.74
82,2017-07-22,11.31
83,2017-07-23,11.96
84,2017-07-24,11.31
85,2017-07-25,11.7
86,2017-07-26,11.7
87,2017-07-27,11.05
88,2017-07-28,12.22
89,2017-07-29,10.14
90,2017-07-30,10.14
91,2017-07-31,13.0
92,2017-08-01,18.4
93,2017-08-02,16.6
94,2017-08-03,11.6
95,2017-08-04,10.6
96,2017-08-05,13.4
97,2017-08-06,11.2
98,2017-08-07,13.0
99,2017-08-08,13.6
100,2017-08-09,11.8
101,2017-08-10,11.4
102,2017-08-11,12.2
103,2017-08-12,14.4
104,2017-08-13,17.2
105,2017-08-14,20.0
106,2017-08-15,20.0
107,2017-08-16,16.4
108,2017-08-17,16.2
109,2017-08-18,16.2
110,2017-08-19,15.0
111,2017-08-20,14.0
112,2017-08-21,13.8
113,2017-08-22,15.4
114,2017-08-23,14.2
115,2017-08-24,13.2
116,2017-08-25,14.0
117,2017-08-26,12.4
118,2017-08-27,11.2
119,2017-08-28,12.2
120,2017-08-29,14.4
121,2017-08-30,15.2
122,2017-08-31,16.2
123,2017-09-01,13.65
124,2017-09-02,13.23
125,2017-09-03,11.76
126,2017-09-04,14.7
127,2017-09-05,14.49
128,2017-09-06,12.81
129,2017-09-07,11.55
130,2017-09-08,12.39
131,2017-09-09,10.29
132,2017-09-10,10.08
133,2017-09-11,11.34
134,2017-09-12,11.34
135,2017-09-13,15.33
136,2017-09-14,18.69
137,2017-09-15,21.0
138,2017-09-16,14.07
139,2017-09-17,11.34
140,2017-09-18,13.23
141,2017-09-19,11.97
142,2017-09-20,10.71
143,2017-09-21,10.71
144,2017-09-22,9.87
145,2017-09-23,8.4
146,2017-09-24,7.56
147,2017-09-25,9.03
148,2017-09-26,8.61
149,2017-09-27,9.87
150,2017-09-28,9.24
151,2017-09-29,9.03
152,2017-09-30,8.19
153,2017-10-01,8.8
154,2017-10-02,9.9
155,2017-10-03,10.12
156,2017-10-04,9.02
